"Advanced Program Information"
3/17/2022

Year,Level,Division,"Enrollment Type",Count,Percent
"2020 - 2021",DIV,"Middlesex County Public Schools","Governors School enrollment",26,7.95
"2020 - 2021",DIV,"Montgomery County Public Schools","Advanced Placement Test Taken Preliminary Results",602,20.1
"2020 - 2021",DIV,"Montgomery County Public Schools","Advanced Placement course enrollment",724,24.17
"2020 - 2021",DIV,"Montgomery County Public Schools","Dual Enrollment enrollment",1046,34.92
"2020 - 2021",DIV,"Montgomery County Public Schools","Governors School enrollment",19,.63
"2020 - 2021",DIV,"Nelson County Public Schools","Advanced Placement Test Taken Preliminary Results",34,5.96
"2020 - 2021",DIV,"Nelson County Public Schools","Advanced Placement course enrollment",51,8.95
"2020 - 2021",DIV,"Nelson County Public Schools","Dual Enrollment enrollment",82,14.39
"2020 - 2021",DIV,"New Kent County Public Schools","Advanced Placement Test Taken Preliminary Results",135,13.11
"2020 - 2021",DIV,"New Kent County Public Schools","Advanced Placement course enrollment",136,13.2
"2020 - 2021",DIV,"New Kent County Public Schools","Dual Enrollment enrollment",131,12.72
"2020 - 2021",DIV,"New Kent County Public Schools","Governors School enrollment",24,2.33
"2020 - 2021",DIV,"Newport News City Public Schools","Advanced Placement course enrollment",1940,25.32
"2020 - 2021",DIV,"Newport News City Public Schools","Dual Enrollment enrollment",240,3.13
"2020 - 2021",DIV,"Newport News City Public Schools","Governors School enrollment",21,.27
"2020 - 2021",DIV,"Newport News City Public Schools","IB Course enrollment",104,1.36
"2020 - 2021",DIV,"Newport News City Public Schools","IB Exam Taken",93,1.21
"2020 - 2021",DIV,"Newport News City Public Schools","Seniors enrolled in IB Program",55,.72
"2020 - 2021",DIV,"Norfolk City Public Schools","Advanced Placement Test Taken Preliminary Results",1492,20.32
"2020 - 2021",DIV,"Norfolk City Public Schools","Advanced Placement course enrollment",1870,25.47
"2020 - 2021",DIV,"Norfolk City Public Schools","Dual Enrollment enrollment",99,1.35
"2020 - 2021",DIV,"Norfolk City Public Schools","Governors School enrollment",59,.8
"2020 - 2021",DIV,"Norfolk City Public Schools","IB Course enrollment",102,1.39
"2020 - 2021",DIV,"Norfolk City Public Schools","IB Exam Taken",47,.64
"2020 - 2021",DIV,"Norfolk City Public Schools","Seniors enrolled in IB Program",47,.64
"2020 - 2021",DIV,"Northampton County Public Schools","Advanced Placement course enrollment",1,.22
"2020 - 2021",DIV,"Northampton County Public Schools","Dual Enrollment enrollment",3,.66
"2020 - 2021",DIV,"Northumberland County Public Schools","Advanced Placement Test Taken Preliminary Results",5,1.25
"2020 - 2021",DIV,"Northumberland County Public Schools","Advanced Placement course enrollment",21,5.24
"2020 - 2021",DIV,"Northumberland County Public Schools","Dual Enrollment enrollment",241,60.1
"2020 - 2021",DIV,"Northumberland County Public Schools","Governors School enrollment",20,4.99
"2020 - 2021",DIV,"Norton City Public Schools","Advanced Placement course enrollment",57,21.76
"2020 - 2021",DIV,"Norton City Public Schools","Dual Enrollment enrollment",89,33.97
"2020 - 2021",DIV,"Nottoway County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.17
"2020 - 2021",DIV,"Nottoway County Public Schools","Advanced Placement course enrollment",1,.17
"2020 - 2021",DIV,"Nottoway County Public Schools","Dual Enrollment enrollment",128,22.22
"2020 - 2021",DIV,"Nottoway County Public Schools","Governors School enrollment",20,3.47
"2020 - 2021",DIV,"Orange County Public Schools","Advanced Placement Test Taken Preliminary Results",126,8.63
"2020 - 2021",DIV,"Orange County Public Schools","Advanced Placement course enrollment",288,19.73
"2020 - 2021",DIV,"Orange County Public Schools","Dual Enrollment enrollment",112,7.67
"2020 - 2021",DIV,"Orange County Public Schools","Governors School enrollment",125,8.56
"2020 - 2021",DIV,"Page County Public Schools","Advanced Placement Test Taken Preliminary Results",22,1.97
"2020 - 2021",DIV,"Page County Public Schools","Advanced Placement course enrollment",23,2.06
"2020 - 2021",DIV,"Page County Public Schools","Dual Enrollment enrollment",251,22.53
"2020 - 2021",DIV,"Page County Public Schools","Governors School enrollment",8,.72
"2020 - 2021",DIV,"Patrick County Public Schools","Advanced Placement Test Taken Preliminary Results",10,1.38
"2020 - 2021",DIV,"Patrick County Public Schools","Advanced Placement course enrollment",12,1.66
"2020 - 2021",DIV,"Patrick County Public Schools","Dual Enrollment enrollment",115,15.86
"2020 - 2021",DIV,"Petersburg City Public Schools","Advanced Placement Test Taken Preliminary Results",4,.42
"2020 - 2021",DIV,"Petersburg City Public Schools","Advanced Placement course enrollment",48,5.05
"2020 - 2021",DIV,"Petersburg City Public Schools","Dual Enrollment enrollment",0,0
"2020 - 2021",DIV,"Petersburg City Public Schools","Governors School enrollment",70,7.36
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",36,1.31
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Advanced Placement course enrollment",141,5.14
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Dual Enrollment enrollment",749,27.32
"2020 - 2021",DIV,"Pittsylvania County Public Schools","Governors School enrollment",55,2.01
"2020 - 2021",DIV,"Poquoson City Public Schools","Advanced Placement Test Taken Preliminary Results",114,15.77
"2020 - 2021",DIV,"Poquoson City Public Schools","Advanced Placement course enrollment",188,26
"2020 - 2021",DIV,"Poquoson City Public Schools","Dual Enrollment enrollment",106,14.66
"2020 - 2021",DIV,"Poquoson City Public Schools","Governors School enrollment",15,2.07
"2020 - 2021",DIV,"Portsmouth City Public Schools","Advanced Placement Test Taken Preliminary Results",80,2.09
"2020 - 2021",DIV,"Portsmouth City Public Schools","Advanced Placement course enrollment",117,3.06
"2020 - 2021",DIV,"Portsmouth City Public Schools","Governors School enrollment",16,.42
"2020 - 2021",DIV,"Powhatan County Public Schools","Advanced Placement Test Taken Preliminary Results",323,22.46
"2020 - 2021",DIV,"Powhatan County Public Schools","Advanced Placement course enrollment",355,24.69
"2020 - 2021",DIV,"Powhatan County Public Schools","Dual Enrollment enrollment",53,3.69
"2020 - 2021",DIV,"Powhatan County Public Schools","Governors School enrollment",20,1.39
"2020 - 2021",DIV,"Prince Edward County Public Schools","Advanced Placement Test Taken Preliminary Results",24,4.04
"2020 - 2021",DIV,"Prince Edward County Public Schools","Advanced Placement course enrollment",44,7.41
"2020 - 2021",DIV,"Prince Edward County Public Schools","Dual Enrollment enrollment",164,27.61
"2020 - 2021",DIV,"Prince Edward County Public Schools","Governors School enrollment",12,2.02
"2020 - 2021",DIV,"Prince George County Public Schools","Advanced Placement Test Taken Preliminary Results",13,.72
"2020 - 2021",DIV,"Prince George County Public Schools","Advanced Placement course enrollment",37,2.05
"2020 - 2021",DIV,"Prince George County Public Schools","Dual Enrollment enrollment",129,7.16
"2020 - 2021",DIV,"Prince George County Public Schools","Governors School enrollment",25,1.39
"2020 - 2021",DIV,"Prince William County Public Schools","Advanced Placement Test Taken Preliminary Results",5529,19.19
"2020 - 2021",DIV,"Prince William County Public Schools","Advanced Placement course enrollment",6145,21.32
"2020 - 2021",DIV,"Prince William County Public Schools","Dual Enrollment enrollment",2246,7.79
"2020 - 2021",DIV,"Prince William County Public Schools","Governors School enrollment",97,.34
"2020 - 2021",DIV,"Prince William County Public Schools","IB Course enrollment",844,2.93
"2020 - 2021",DIV,"Prince William County Public Schools","IB Exam Taken",515,1.79
"2020 - 2021",DIV,"Prince William County Public Schools","Seniors enrolled in IB Program",47,.16
"2020 - 2021",DIV,"Pulaski County Public Schools","Advanced Placement Test Taken Preliminary Results",72,5.88
"2020 - 2021",DIV,"Pulaski County Public Schools","Advanced Placement course enrollment",148,12.08
"2020 - 2021",DIV,"Pulaski County Public Schools","Dual Enrollment enrollment",278,22.69
"2020 - 2021",DIV,"Pulaski County Public Schools","Governors School enrollment",14,1.14
"2020 - 2021",DIV,"Radford City Public Schools","Advanced Placement Test Taken Preliminary Results",52,9.04
"2020 - 2021",DIV,"Radford City Public Schools","Advanced Placement course enrollment",121,21.04
"2020 - 2021",DIV,"Radford City Public Schools","Dual Enrollment enrollment",116,20.17
"2020 - 2021",DIV,"Radford City Public Schools","Governors School enrollment",6,1.04
"2020 - 2021",DIV,"Rappahannock County Public Schools","Advanced Placement Test Taken Preliminary Results",17,6.94
"2020 - 2021",DIV,"Rappahannock County Public Schools","Advanced Placement course enrollment",34,13.88
"2020 - 2021",DIV,"Rappahannock County Public Schools","Dual Enrollment enrollment",55,22.45
"2020 - 2021",DIV,"Richmond City Public Schools","Advanced Placement Test Taken Preliminary Results",435,6.55
"2020 - 2021",DIV,"Richmond City Public Schools","Advanced Placement course enrollment",641,9.66
"2020 - 2021",DIV,"Richmond City Public Schools","Dual Enrollment enrollment",69,1.04
"2020 - 2021",DIV,"Richmond City Public Schools","Governors School enrollment",281,4.23
"2020 - 2021",DIV,"Richmond City Public Schools","Seniors enrolled in IB Program",2,.03
"2020 - 2021",DIV,"Richmond County Public Schools","Advanced Placement Test Taken Preliminary Results",19,4.85
"2020 - 2021",DIV,"Richmond County Public Schools","Advanced Placement course enrollment",19,4.85
"2020 - 2021",DIV,"Richmond County Public Schools","Dual Enrollment enrollment",166,42.35
"2020 - 2021",DIV,"Richmond County Public Schools","Governors School enrollment",22,5.61
"2020 - 2021",DIV,"Roanoke City Public Schools","Advanced Placement Test Taken Preliminary Results",410,10.96
"2020 - 2021",DIV,"Roanoke City Public Schools","Advanced Placement course enrollment",664,17.74
"2020 - 2021",DIV,"Roanoke City Public Schools","Dual Enrollment enrollment",408,10.9
"2020 - 2021",DIV,"Roanoke City Public Schools","Governors School enrollment",131,3.5
"2020 - 2021",DIV,"Roanoke County Public Schools","Advanced Placement Test Taken Preliminary Results",408,9.24
"2020 - 2021",DIV,"Roanoke County Public Schools","Advanced Placement course enrollment",1190,26.95
"2020 - 2021",DIV,"Roanoke County Public Schools","Dual Enrollment enrollment",787,17.83
"2020 - 2021",DIV,"Roanoke County Public Schools","Governors School enrollment",53,1.2
"2020 - 2021",DIV,"Rockbridge County Public Schools","Advanced Placement Test Taken Preliminary Results",149,14.49
"2020 - 2021",DIV,"Rockbridge County Public Schools","Advanced Placement course enrollment",150,14.59
"2020 - 2021",DIV,"Rockbridge County Public Schools","Dual Enrollment enrollment",192,18.68
"2020 - 2021",DIV,"Rockingham County Public Schools","Advanced Placement Test Taken Preliminary Results",348,9.6
"2020 - 2021",DIV,"Rockingham County Public Schools","Advanced Placement course enrollment",729,20.11
"2020 - 2021",DIV,"Rockingham County Public Schools","Dual Enrollment enrollment",143,3.94
"2020 - 2021",DIV,"Rockingham County Public Schools","Governors School enrollment",31,.86
"2020 - 2021",DIV,"Russell County Public Schools","Dual Enrollment enrollment",279,25.5
"2020 - 2021",DIV,"Salem City Public Schools","Advanced Placement Test Taken Preliminary Results",231,18.3
"2020 - 2021",DIV,"Salem City Public Schools","Advanced Placement course enrollment",237,18.78
"2020 - 2021",DIV,"Salem City Public Schools","Dual Enrollment enrollment",434,34.39
"2020 - 2021",DIV,"Salem City Public Schools","IB Course enrollment",280,22.19
"2020 - 2021",DIV,"Salem City Public Schools","IB Exam Taken",80,6.34
"2020 - 2021",DIV,"Salem City Public Schools","Seniors enrolled in IB Program",4,.32
"2020 - 2021",DIV,"Scott County Public Schools","Dual Enrollment enrollment",224,21.79
"2020 - 2021",DIV,"Shenandoah County Public Schools","Advanced Placement Test Taken Preliminary Results",2,.11
"2020 - 2021",DIV,"Shenandoah County Public Schools","Advanced Placement course enrollment",198,10.71
"2020 - 2021",DIV,"Shenandoah County Public Schools","Dual Enrollment enrollment",397,21.47
"2020 - 2021",DIV,"Shenandoah County Public Schools","Governors School enrollment",26,1.41
"2020 - 2021",DIV,"Smyth County Public Schools","Advanced Placement Test Taken Preliminary Results",43,3.31
"2020 - 2021",DIV,"Smyth County Public Schools","Advanced Placement course enrollment",55,4.24
"2020 - 2021",DIV,"Smyth County Public Schools","Dual Enrollment enrollment",285,21.96
"2020 - 2021",DIV,"Smyth County Public Schools","Governors School enrollment",12,.92
"2020 - 2021",DIV,"Southampton County Public Schools","Advanced Placement Test Taken Preliminary Results",45,5.92
"2020 - 2021",DIV,"Southampton County Public Schools","Advanced Placement course enrollment",46,6.05
"2020 - 2021",DIV,"Southampton County Public Schools","Dual Enrollment enrollment",113,14.87
"2020 - 2021",DIV,"Southampton County Public Schools","Governors School enrollment",12,1.58
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Advanced Placement Test Taken Preliminary Results",1385,18.11
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Advanced Placement course enrollment",2514,32.87
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Dual Enrollment enrollment",482,6.3
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Governors School enrollment",228,2.98
"2020 - 2021",DIV,"Spotsylvania County Public Schools","IB Course enrollment",42,.55
"2020 - 2021",DIV,"Spotsylvania County Public Schools","IB Exam Taken",21,.27
"2020 - 2021",DIV,"Spotsylvania County Public Schools","Seniors enrolled in IB Program",6,.08
"2020 - 2021",DIV,"Stafford County Public Schools","Advanced Placement Test Taken Preliminary Results",2,.02
"2020 - 2021",DIV,"Stafford County Public Schools","Advanced Placement course enrollment",2180,22.05
"2020 - 2021",DIV,"Stafford County Public Schools","Governors School enrollment",262,2.65
"2020 - 2021",DIV,"Stafford County Public Schools","IB Course enrollment",567,5.73
"2020 - 2021",DIV,"Staunton City Public Schools","Dual Enrollment enrollment",61,7.74
"2020 - 2021",DIV,"Suffolk City Public Schools","Advanced Placement Test Taken Preliminary Results",230,5.28
"2020 - 2021",DIV,"Suffolk City Public Schools","Advanced Placement course enrollment",420,9.65
"2020 - 2021",DIV,"Suffolk City Public Schools","Dual Enrollment enrollment",202,4.64
"2020 - 2021",DIV,"Suffolk City Public Schools","Governors School enrollment",27,.62
"2020 - 2021",DIV,"Suffolk City Public Schools","IB Course enrollment",73,1.68
"2020 - 2021",DIV,"Suffolk City Public Schools","Seniors enrolled in IB Program",37,.85
"2020 - 2021",DIV,"Surry County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.46
"2020 - 2021",DIV,"Surry County Public Schools","Dual Enrollment enrollment",29,13.24
"2020 - 2021",DIV,"Surry County Public Schools","Governors School enrollment",7,3.2
"2020 - 2021",DIV,"Sussex County Public Schools","Dual Enrollment enrollment",3,.99
"2020 - 2021",DIV,"Sussex County Public Schools","Governors School enrollment",9,2.97
"2020 - 2021",DIV,"Tazewell County Public Schools","Advanced Placement Test Taken Preliminary Results",24,1.39
"2020 - 2021",DIV,"Tazewell County Public Schools","Advanced Placement course enrollment",196,11.32
"2020 - 2021",DIV,"Tazewell County Public Schools","Dual Enrollment enrollment",252,14.56
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Advanced Placement Test Taken Preliminary Results",3634,17.55
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Advanced Placement course enrollment",6767,32.69
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Governors School enrollment",129,.62
"2020 - 2021",DIV,"Virginia Beach City Public Schools","IB Course enrollment",888,4.29
"2020 - 2021",DIV,"Virginia Beach City Public Schools","IB Exam Taken",274,1.32
"2020 - 2021",DIV,"Virginia Beach City Public Schools","Seniors enrolled in IB Program",200,.97
"2020 - 2021",DIV,"Warren County Public Schools","Advanced Placement course enrollment",218,13.07
"2020 - 2021",DIV,"Warren County Public Schools","Dual Enrollment enrollment",394,23.62
"2020 - 2021",DIV,"Warren County Public Schools","Governors School enrollment",27,1.62
"2020 - 2021",DIV,"Washington County Public Schools","Advanced Placement Test Taken Preliminary Results",122,5.54
"2020 - 2021",DIV,"Washington County Public Schools","Advanced Placement course enrollment",206,9.36
"2020 - 2021",DIV,"Washington County Public Schools","Governors School enrollment",14,.64
"2020 - 2021",DIV,"Waynesboro City Public Schools","Advanced Placement Test Taken Preliminary Results",61,6.8
"2020 - 2021",DIV,"Waynesboro City Public Schools","Advanced Placement course enrollment",145,16.16
"2020 - 2021",DIV,"Waynesboro City Public Schools","Dual Enrollment enrollment",48,5.35
"2020 - 2021",DIV,"Waynesboro City Public Schools","Governors School enrollment",46,5.13
"2020 - 2021",DIV,"West Point Public Schools","Advanced Placement course enrollment",21,7.55
"2020 - 2021",DIV,"West Point Public Schools","Dual Enrollment enrollment",126,45.32
"2020 - 2021",DIV,"Westmoreland County Public Schools","Advanced Placement Test Taken Preliminary Results",15,3.08
"2020 - 2021",DIV,"Westmoreland County Public Schools","Advanced Placement course enrollment",19,3.9
"2020 - 2021",DIV,"Westmoreland County Public Schools","Dual Enrollment enrollment",50,10.27
"2020 - 2021",DIV,"Westmoreland County Public Schools","Governors School enrollment",19,3.9
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Advanced Placement Test Taken Preliminary Results",626,16.68
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Advanced Placement course enrollment",1248,33.25
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Dual Enrollment enrollment",200,5.33
"2020 - 2021",DIV,"Williamsburg-James City County Public Schools","Governors School enrollment",26,.69
"2020 - 2021",DIV,"Winchester City Public Schools","Advanced Placement Test Taken Preliminary Results",293,21.4
"2020 - 2021",DIV,"Winchester City Public Schools","Advanced Placement course enrollment",349,25.49
"2020 - 2021",DIV,"Winchester City Public Schools","Dual Enrollment enrollment",234,17.09
"2020 - 2021",DIV,"Wise County Public Schools","Advanced Placement Test Taken Preliminary Results",20,1.3
"2020 - 2021",DIV,"Wise County Public Schools","Advanced Placement course enrollment",33,2.14
"2020 - 2021",DIV,"Wise County Public Schools","Dual Enrollment enrollment",327,21.21
"2020 - 2021",DIV,"Wise County Public Schools","Governors School enrollment",113,7.33
"2020 - 2021",DIV,"Wythe County Public Schools","Dual Enrollment enrollment",275,21.93
"2020 - 2021",DIV,"Wythe County Public Schools","Governors School enrollment",30,2.39
"2020 - 2021",DIV,"York County Public Schools","Advanced Placement Test Taken Preliminary Results",1156,28.55
"2020 - 2021",DIV,"York County Public Schools","Advanced Placement course enrollment",1676,41.39
"2020 - 2021",DIV,"York County Public Schools","Dual Enrollment enrollment",89,2.2
"2020 - 2021",DIV,"York County Public Schools","Governors School enrollment",76,1.88
"2020 - 2021",DIV,"York County Public Schools","IB Course enrollment",59,1.46
"2020 - 2021",DIV,"York County Public Schools","IB Exam Taken",37,.91
"2020 - 2021",DIV,"York County Public Schools","Seniors enrolled in IB Program",23,.57
