"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2018 - 2019",DIV,"Chesapeake City Public Schools","Students with Disabilities",6209,830,88.2,11.8
"2018 - 2019",DIV,"Chesapeake City Public Schools",White,17655,1172,93.8,6.2
"2018 - 2019",DIV,"Chesterfield County Public Schools","All Students",54259,6223,89.7,10.3
"2018 - 2019",DIV,"Chesterfield County Public Schools","American Indian",107,9,,
"2018 - 2019",DIV,"Chesterfield County Public Schools",Asian,1902,127,93.7,6.3
"2018 - 2019",DIV,"Chesterfield County Public Schools",Black,13603,1859,88,12
"2018 - 2019",DIV,"Chesterfield County Public Schools","Economically Disadvantaged",21939,4438,83.2,16.8
"2018 - 2019",DIV,"Chesterfield County Public Schools","English Learners",5558,879,86.3,13.7
"2018 - 2019",DIV,"Chesterfield County Public Schools",Female,26600,2824,90.4,9.6
"2018 - 2019",DIV,"Chesterfield County Public Schools",Hispanic,8386,1569,84.2,15.8
"2018 - 2019",DIV,"Chesterfield County Public Schools",Homeless,438,302,,
"2018 - 2019",DIV,"Chesterfield County Public Schools",Male,27659,3399,89.1,10.9
"2018 - 2019",DIV,"Chesterfield County Public Schools","Multiple Races",2680,307,89.7,10.3
"2018 - 2019",DIV,"Chesterfield County Public Schools","Native Hawaiian",100,18,,
"2018 - 2019",DIV,"Chesterfield County Public Schools","Students with Disabilities",6347,1169,84.4,15.6
"2018 - 2019",DIV,"Chesterfield County Public Schools",White,27481,2334,92.2,7.8
"2018 - 2019",DIV,"Clarke County Public Schools","All Students",1660,244,87.2,12.8
"2018 - 2019",DIV,"Clarke County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Clarke County Public Schools",Asian,20,1,95.2,4.8
"2018 - 2019",DIV,"Clarke County Public Schools",Black,43,7,86,14
"2018 - 2019",DIV,"Clarke County Public Schools","Economically Disadvantaged",352,85,80.5,19.5
"2018 - 2019",DIV,"Clarke County Public Schools","English Learners",70,11,86.4,13.6
"2018 - 2019",DIV,"Clarke County Public Schools",Female,824,127,86.6,13.4
"2018 - 2019",DIV,"Clarke County Public Schools",Hispanic,156,29,84.3,15.7
"2018 - 2019",DIV,"Clarke County Public Schools",Homeless,8,2,,
"2018 - 2019",DIV,"Clarke County Public Schools",Male,836,117,87.7,12.3
"2018 - 2019",DIV,"Clarke County Public Schools","Multiple Races",121,20,85.8,14.2
"2018 - 2019",DIV,"Clarke County Public Schools","Students with Disabilities",157,47,77,23
"2018 - 2019",DIV,"Clarke County Public Schools",White,1318,187,87.6,12.4
"2018 - 2019",DIV,"Colonial Beach Public Schools","All Students",562,66,89.5,10.5
"2018 - 2019",DIV,"Colonial Beach Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Colonial Beach Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Colonial Beach Public Schools",Black,128,20,86.5,13.5
"2018 - 2019",DIV,"Colonial Beach Public Schools","Economically Disadvantaged",301,41,88,12
"2018 - 2019",DIV,"Colonial Beach Public Schools","English Learners",13,0,100,0
"2018 - 2019",DIV,"Colonial Beach Public Schools",Female,277,32,89.6,10.4
"2018 - 2019",DIV,"Colonial Beach Public Schools",Hispanic,20,3,87,13
"2018 - 2019",DIV,"Colonial Beach Public Schools",Homeless,26,5,,
"2018 - 2019",DIV,"Colonial Beach Public Schools",Male,285,34,89.3,10.7
"2018 - 2019",DIV,"Colonial Beach Public Schools","Multiple Races",50,10,83.3,16.7
"2018 - 2019",DIV,"Colonial Beach Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Colonial Beach Public Schools","Students with Disabilities",87,11,88.8,11.2
"2018 - 2019",DIV,"Colonial Beach Public Schools",White,351,33,91.4,8.6
"2018 - 2019",DIV,"Colonial Heights City Public Schools","All Students",2409,367,86.8,13.2
"2018 - 2019",DIV,"Colonial Heights City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Colonial Heights City Public Schools",Asian,80,0,100,0
"2018 - 2019",DIV,"Colonial Heights City Public Schools",Black,503,82,86,14
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Economically Disadvantaged",1234,220,84.9,15.1
"2018 - 2019",DIV,"Colonial Heights City Public Schools","English Learners",136,10,93.2,6.8
"2018 - 2019",DIV,"Colonial Heights City Public Schools",Female,1198,173,87.4,12.6
"2018 - 2019",DIV,"Colonial Heights City Public Schools",Hispanic,195,30,86.7,13.3
"2018 - 2019",DIV,"Colonial Heights City Public Schools",Homeless,12,9,,
"2018 - 2019",DIV,"Colonial Heights City Public Schools",Male,1211,194,86.2,13.8
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Multiple Races",199,33,85.8,14.2
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Students with Disabilities",384,100,79.3,20.7
"2018 - 2019",DIV,"Colonial Heights City Public Schools",White,1424,222,86.5,13.5
"2018 - 2019",DIV,"Covington City Public Schools","All Students",779,237,76.7,23.3
"2018 - 2019",DIV,"Covington City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Covington City Public Schools",Asian,<,<,83.3,16.7
"2018 - 2019",DIV,"Covington City Public Schools",Black,127,22,85.2,14.8
"2018 - 2019",DIV,"Covington City Public Schools","Economically Disadvantaged",287,134,68.2,31.8
"2018 - 2019",DIV,"Covington City Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Covington City Public Schools",Female,374,109,77.4,22.6
"2018 - 2019",DIV,"Covington City Public Schools",Hispanic,40,6,87,13
"2018 - 2019",DIV,"Covington City Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Covington City Public Schools",Male,405,128,76,24
"2018 - 2019",DIV,"Covington City Public Schools","Multiple Races",51,14,78.5,21.5
"2018 - 2019",DIV,"Covington City Public Schools","Students with Disabilities",131,62,67.9,32.1
"2018 - 2019",DIV,"Covington City Public Schools",White,553,193,74.1,25.9
"2018 - 2019",DIV,"Craig County Public Schools","All Students",536,58,90.2,9.8
"2018 - 2019",DIV,"Craig County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Craig County Public Schools",Black,<,<,100,0
"2018 - 2019",DIV,"Craig County Public Schools","Economically Disadvantaged",288,43,87,13
"2018 - 2019",DIV,"Craig County Public Schools",Female,260,24,91.5,8.5
"2018 - 2019",DIV,"Craig County Public Schools",Hispanic,<,<,100,0
"2018 - 2019",DIV,"Craig County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Craig County Public Schools",Male,276,34,89,11
"2018 - 2019",DIV,"Craig County Public Schools","Multiple Races",<,<,100,0
"2018 - 2019",DIV,"Craig County Public Schools","Students with Disabilities",129,19,87.2,12.8
"2018 - 2019",DIV,"Craig County Public Schools",White,525,58,90.1,9.9
"2018 - 2019",DIV,"Culpeper County Public Schools","All Students",7204,805,89.9,10.1
"2018 - 2019",DIV,"Culpeper County Public Schools","American Indian",22,3,,
"2018 - 2019",DIV,"Culpeper County Public Schools",Asian,110,3,97.3,2.7
"2018 - 2019",DIV,"Culpeper County Public Schools",Black,997,124,88.9,11.1
"2018 - 2019",DIV,"Culpeper County Public Schools","Economically Disadvantaged",3317,530,86.2,13.8
"2018 - 2019",DIV,"Culpeper County Public Schools","English Learners",919,102,90,10
"2018 - 2019",DIV,"Culpeper County Public Schools",Female,3562,383,90.3,9.7
"2018 - 2019",DIV,"Culpeper County Public Schools",Hispanic,1640,198,89.2,10.8
"2018 - 2019",DIV,"Culpeper County Public Schools",Homeless,61,23,,
"2018 - 2019",DIV,"Culpeper County Public Schools",Male,3642,422,89.6,10.4
"2018 - 2019",DIV,"Culpeper County Public Schools","Multiple Races",491,49,90.9,9.1
"2018 - 2019",DIV,"Culpeper County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Culpeper County Public Schools","Students with Disabilities",684,141,82.9,17.1
"2018 - 2019",DIV,"Culpeper County Public Schools",White,3944,427,90.2,9.8
"2018 - 2019",DIV,"Cumberland County Public Schools","All Students",1090,169,86.6,13.4
"2018 - 2019",DIV,"Cumberland County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Cumberland County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Cumberland County Public Schools",Black,445,56,88.8,11.2
"2018 - 2019",DIV,"Cumberland County Public Schools","Economically Disadvantaged",764,134,85.1,14.9
"2018 - 2019",DIV,"Cumberland County Public Schools","English Learners",23,0,100,0
"2018 - 2019",DIV,"Cumberland County Public Schools",Female,521,85,86,14
"2018 - 2019",DIV,"Cumberland County Public Schools",Hispanic,47,2,95.9,4.1
"2018 - 2019",DIV,"Cumberland County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Cumberland County Public Schools",Male,569,84,87.1,12.9
"2018 - 2019",DIV,"Cumberland County Public Schools","Multiple Races",72,20,78.3,21.7
"2018 - 2019",DIV,"Cumberland County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Cumberland County Public Schools","Students with Disabilities",126,31,80.3,19.7
"2018 - 2019",DIV,"Cumberland County Public Schools",White,521,91,85.1,14.9
"2018 - 2019",DIV,"Danville City Public Schools","All Students",4348,1027,80.9,19.1
"2018 - 2019",DIV,"Danville City Public Schools","American Indian",7,4,,
"2018 - 2019",DIV,"Danville City Public Schools",Asian,67,5,93.1,6.9
"2018 - 2019",DIV,"Danville City Public Schools",Black,2946,711,80.6,19.4
"2018 - 2019",DIV,"Danville City Public Schools","Economically Disadvantaged",2765,848,76.5,23.5
"2018 - 2019",DIV,"Danville City Public Schools","English Learners",280,48,85.4,14.6
"2018 - 2019",DIV,"Danville City Public Schools",Female,2191,465,82.5,17.5
"2018 - 2019",DIV,"Danville City Public Schools",Hispanic,375,70,84.3,15.7
"2018 - 2019",DIV,"Danville City Public Schools",Homeless,34,26,,
"2018 - 2019",DIV,"Danville City Public Schools",Male,2157,562,79.3,20.7
"2018 - 2019",DIV,"Danville City Public Schools","Multiple Races",125,42,74.9,25.1
"2018 - 2019",DIV,"Danville City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Danville City Public Schools","Students with Disabilities",577,184,75.8,24.2
"2018 - 2019",DIV,"Danville City Public Schools",White,824,195,80.9,19.1
"2018 - 2019",DIV,"Department of Juvenile Justice","All Students",115,0,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice",Asian,<,<,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice",Black,84,0,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice","Economically Disadvantaged",115,0,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice","English Learners",<,<,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice",Female,<,<,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice",Hispanic,<,<,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice",Male,108,0,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice","Students with Disabilities",48,0,100,0
"2018 - 2019",DIV,"Department of Juvenile Justice",White,22,0,100,0
"2018 - 2019",DIV,"Dickenson County Public Schools","All Students",1557,380,80.4,19.6
"2018 - 2019",DIV,"Dickenson County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Dickenson County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Dickenson County Public Schools",Black,12,5,70.6,29.4
"2018 - 2019",DIV,"Dickenson County Public Schools","Economically Disadvantaged",851,294,74.3,25.7
"2018 - 2019",DIV,"Dickenson County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Dickenson County Public Schools",Female,744,167,81.7,18.3
"2018 - 2019",DIV,"Dickenson County Public Schools",Hispanic,14,2,87.5,12.5
"2018 - 2019",DIV,"Dickenson County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Dickenson County Public Schools",Male,813,213,79.2,20.8
"2018 - 2019",DIV,"Dickenson County Public Schools","Multiple Races",<,<,66.7,33.3
"2018 - 2019",DIV,"Dickenson County Public Schools","Students with Disabilities",262,82,76.2,23.8
"2018 - 2019",DIV,"Dickenson County Public Schools",White,1522,369,80.5,19.5
"2018 - 2019",DIV,"Dinwiddie County Public Schools","All Students",3713,613,85.8,14.2
"2018 - 2019",DIV,"Dinwiddie County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Dinwiddie County Public Schools",Asian,10,2,83.3,16.7
"2018 - 2019",DIV,"Dinwiddie County Public Schools",Black,1272,154,89.2,10.8
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Economically Disadvantaged",1894,450,80.8,19.2
"2018 - 2019",DIV,"Dinwiddie County Public Schools","English Learners",100,10,90.9,9.1
"2018 - 2019",DIV,"Dinwiddie County Public Schools",Female,1823,290,86.3,13.7
"2018 - 2019",DIV,"Dinwiddie County Public Schools",Hispanic,240,37,86.6,13.4
"2018 - 2019",DIV,"Dinwiddie County Public Schools",Homeless,6,7,,
"2018 - 2019",DIV,"Dinwiddie County Public Schools",Male,1890,323,85.4,14.6
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Multiple Races",200,48,80.6,19.4
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Students with Disabilities",460,109,80.8,19.2
"2018 - 2019",DIV,"Dinwiddie County Public Schools",White,1982,370,84.3,15.7
"2018 - 2019",DIV,"Essex County Public Schools","All Students",1112,150,88.1,11.9
"2018 - 2019",DIV,"Essex County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Essex County Public Schools",Asian,20,0,100,0
"2018 - 2019",DIV,"Essex County Public Schools",Black,601,67,90,10
"2018 - 2019",DIV,"Essex County Public Schools","Economically Disadvantaged",761,112,87.2,12.8
"2018 - 2019",DIV,"Essex County Public Schools","English Learners",49,1,98,2
"2018 - 2019",DIV,"Essex County Public Schools",Female,545,65,89.3,10.7
"2018 - 2019",DIV,"Essex County Public Schools",Hispanic,56,7,88.9,11.1
"2018 - 2019",DIV,"Essex County Public Schools",Homeless,15,3,,
"2018 - 2019",DIV,"Essex County Public Schools",Male,567,85,87,13
"2018 - 2019",DIV,"Essex County Public Schools","Multiple Races",95,16,85.6,14.4
"2018 - 2019",DIV,"Essex County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Essex County Public Schools","Students with Disabilities",151,39,79.5,20.5
"2018 - 2019",DIV,"Essex County Public Schools",White,332,60,84.7,15.3
"2018 - 2019",DIV,"Fairfax County Public Schools","All Students",167785,15591,91.5,8.5
"2018 - 2019",DIV,"Fairfax County Public Schools","American Indian",387,53,,
"2018 - 2019",DIV,"Fairfax County Public Schools",Asian,34161,2331,93.6,6.4
"2018 - 2019",DIV,"Fairfax County Public Schools",Black,16922,1557,91.6,8.4
"2018 - 2019",DIV,"Fairfax County Public Schools","Economically Disadvantaged",48182,7909,85.9,14.1
"2018 - 2019",DIV,"Fairfax County Public Schools","English Learners",45234,6523,87.4,12.6
"2018 - 2019",DIV,"Fairfax County Public Schools",Female,80641,7549,91.4,8.6
"2018 - 2019",DIV,"Fairfax County Public Schools",Hispanic,40679,6339,86.5,13.5
"2018 - 2019",DIV,"Fairfax County Public Schools",Homeless,1330,544,,
"2018 - 2019",DIV,"Fairfax County Public Schools",Male,87144,8042,91.6,8.4
"2018 - 2019",DIV,"Fairfax County Public Schools","Multiple Races",9586,689,93.3,6.7
"2018 - 2019",DIV,"Fairfax County Public Schools","Native Hawaiian",240,18,,
"2018 - 2019",DIV,"Fairfax County Public Schools","Students with Disabilities",22402,3680,85.9,14.1
"2018 - 2019",DIV,"Fairfax County Public Schools",White,65810,4604,93.5,6.5
"2018 - 2019",DIV,"Falls Church City Public Schools","All Students",2422,119,95.3,4.7
"2018 - 2019",DIV,"Falls Church City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Falls Church City Public Schools",Asian,188,15,92.6,7.4
"2018 - 2019",DIV,"Falls Church City Public Schools",Black,74,7,91.4,8.6
"2018 - 2019",DIV,"Falls Church City Public Schools","Economically Disadvantaged",210,17,92.5,7.5
"2018 - 2019",DIV,"Falls Church City Public Schools","English Learners",246,20,92.5,7.5
"2018 - 2019",DIV,"Falls Church City Public Schools",Female,1161,54,95.6,4.4
"2018 - 2019",DIV,"Falls Church City Public Schools",Hispanic,330,19,94.6,5.4
"2018 - 2019",DIV,"Falls Church City Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Falls Church City Public Schools",Male,1261,65,95.1,4.9
"2018 - 2019",DIV,"Falls Church City Public Schools","Multiple Races",273,13,95.5,4.5
"2018 - 2019",DIV,"Falls Church City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Falls Church City Public Schools","Students with Disabilities",285,28,91.1,8.9
"2018 - 2019",DIV,"Falls Church City Public Schools",White,1554,64,96,4
"2018 - 2019",DIV,"Fauquier County Public Schools","All Students",10270,716,93.5,6.5
"2018 - 2019",DIV,"Fauquier County Public Schools","American Indian",14,0,,
"2018 - 2019",DIV,"Fauquier County Public Schools",Asian,178,4,97.8,2.2
"2018 - 2019",DIV,"Fauquier County Public Schools",Black,759,68,91.8,8.2
"2018 - 2019",DIV,"Fauquier County Public Schools","Economically Disadvantaged",2783,351,88.8,11.2
"2018 - 2019",DIV,"Fauquier County Public Schools","English Learners",963,77,92.6,7.4
"2018 - 2019",DIV,"Fauquier County Public Schools",Female,4946,333,93.7,6.3
"2018 - 2019",DIV,"Fauquier County Public Schools",Hispanic,1764,139,92.7,7.3
"2018 - 2019",DIV,"Fauquier County Public Schools",Homeless,190,43,,
"2018 - 2019",DIV,"Fauquier County Public Schools",Male,5324,383,93.3,6.7
"2018 - 2019",DIV,"Fauquier County Public Schools","Multiple Races",555,37,93.8,6.2
"2018 - 2019",DIV,"Fauquier County Public Schools","Native Hawaiian",14,2,,
"2018 - 2019",DIV,"Fauquier County Public Schools","Students with Disabilities",1374,159,89.6,10.4
"2018 - 2019",DIV,"Fauquier County Public Schools",White,6986,466,93.7,6.3
"2018 - 2019",DIV,"Floyd County Public Schools","All Students",1688,190,89.9,10.1
"2018 - 2019",DIV,"Floyd County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Floyd County Public Schools",Asian,11,2,84.6,15.4
"2018 - 2019",DIV,"Floyd County Public Schools",Black,25,2,92.6,7.4
"2018 - 2019",DIV,"Floyd County Public Schools","Economically Disadvantaged",780,147,84.1,15.9
"2018 - 2019",DIV,"Floyd County Public Schools","English Learners",54,7,88.5,11.5
"2018 - 2019",DIV,"Floyd County Public Schools",Female,807,93,89.7,10.3
"2018 - 2019",DIV,"Floyd County Public Schools",Hispanic,80,8,90.9,9.1
"2018 - 2019",DIV,"Floyd County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Floyd County Public Schools",Male,881,97,90.1,9.9
"2018 - 2019",DIV,"Floyd County Public Schools","Multiple Races",61,15,80.3,19.7
"2018 - 2019",DIV,"Floyd County Public Schools","Students with Disabilities",217,41,84.1,15.9
"2018 - 2019",DIV,"Floyd County Public Schools",White,1509,162,90.3,9.7
"2018 - 2019",DIV,"Fluvanna County Public Schools","All Students",2866,593,82.9,17.1
"2018 - 2019",DIV,"Fluvanna County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Fluvanna County Public Schools",Asian,10,4,71.4,28.6
